config,cache_kb,trial,workload,mode,ticks,ms
default,96,0,arith,interp,22027000,22.0270
default,96,0,arith,jit-on,1662000,1.6620
default,96,0,arith,jit-warm,957000,0.9570
default,96,0,memmix,interp,19388000,19.3880
default,96,0,memmix,jit-on,2607000,2.6070
default,96,0,memmix,jit-warm,2039000,2.0390
default,96,0,calltree,interp,19538000,19.5380
default,96,0,calltree,jit-on,2513000,2.5130
default,96,0,calltree,jit-warm,1921000,1.9210
default,96,0,countloop,interp,22244000,22.2440
default,96,0,countloop,jit-on,1501000,1.5010
default,96,0,countloop,jit-warm,1073000,1.0730
default,96,0,nqueens,interp,18502000,18.5020
default,96,0,nqueens,jit-on,3448000,3.4480
default,96,0,nqueens,jit-warm,2614000,2.6140
default,96,1,arith,interp,21824000,21.8240
default,96,1,arith,jit-on,1641000,1.6410
default,96,1,arith,jit-warm,952000,0.9520
default,96,1,memmix,interp,18559000,18.5590
default,96,1,memmix,jit-on,2618000,2.6180
default,96,1,memmix,jit-warm,2041000,2.0410
default,96,1,calltree,interp,19349000,19.3490
default,96,1,calltree,jit-on,2560000,2.5600
default,96,1,calltree,jit-warm,1897000,1.8970
default,96,1,countloop,interp,22042000,22.0420
default,96,1,countloop,jit-on,1512000,1.5120
default,96,1,countloop,jit-warm,1071000,1.0710
default,96,1,nqueens,interp,18175000,18.1750
default,96,1,nqueens,jit-on,3411000,3.4110
default,96,1,nqueens,jit-warm,2624000,2.6240
default,128,0,arith,interp,21434000,21.4340
default,128,0,arith,jit-on,1632000,1.6320
default,128,0,arith,jit-warm,969000,0.9690
default,128,0,memmix,interp,18286000,18.2860
default,128,0,memmix,jit-on,2638000,2.6380
default,128,0,memmix,jit-warm,2040000,2.0400
default,128,0,calltree,interp,19042000,19.0420
default,128,0,calltree,jit-on,2578000,2.5780
default,128,0,calltree,jit-warm,1924000,1.9240
default,128,0,countloop,interp,22156000,22.1560
default,128,0,countloop,jit-on,1519000,1.5190
default,128,0,countloop,jit-warm,1058000,1.0580
default,128,0,nqueens,interp,18537000,18.5370
default,128,0,nqueens,jit-on,3533000,3.5330
default,128,0,nqueens,jit-warm,2643000,2.6430
default,128,1,arith,interp,21925000,21.9250
default,128,1,arith,jit-on,1665000,1.6650
default,128,1,arith,jit-warm,957000,0.9570
default,128,1,memmix,interp,19804000,19.8040
default,128,1,memmix,jit-on,2654000,2.6540
default,128,1,memmix,jit-warm,2057000,2.0570
default,128,1,calltree,interp,19745000,19.7450
default,128,1,calltree,jit-on,2535000,2.5350
default,128,1,calltree,jit-warm,1941000,1.9410
default,128,1,countloop,interp,22291000,22.2910
default,128,1,countloop,jit-on,1507000,1.5070
default,128,1,countloop,jit-warm,1072000,1.0720
default,128,1,nqueens,interp,18709000,18.7090
default,128,1,nqueens,jit-on,3528000,3.5280
default,128,1,nqueens,jit-warm,2668000,2.6680
default,192,0,arith,interp,21613000,21.6130
default,192,0,arith,jit-on,1637000,1.6370
default,192,0,arith,jit-warm,948000,0.9480
default,192,0,memmix,interp,18233000,18.2330
default,192,0,memmix,jit-on,2690000,2.6900
default,192,0,memmix,jit-warm,2067000,2.0670
default,192,0,calltree,interp,19354000,19.3540
default,192,0,calltree,jit-on,2528000,2.5280
default,192,0,calltree,jit-warm,1929000,1.9290
default,192,0,countloop,interp,22054000,22.0540
default,192,0,countloop,jit-on,1549000,1.5490
default,192,0,countloop,jit-warm,1074000,1.0740
default,192,0,nqueens,interp,18314000,18.3140
default,192,0,nqueens,jit-on,3489000,3.4890
default,192,0,nqueens,jit-warm,2683000,2.6830
default,192,1,arith,interp,27447000,27.4470
default,192,1,arith,jit-on,1675000,1.6750
default,192,1,arith,jit-warm,987000,0.9870
default,192,1,memmix,interp,20044000,20.0440
default,192,1,memmix,jit-on,2668000,2.6680
default,192,1,memmix,jit-warm,2075000,2.0750
default,192,1,calltree,interp,20804000,20.8040
default,192,1,calltree,jit-on,2573000,2.5730
default,192,1,calltree,jit-warm,1956000,1.9560
default,192,1,countloop,interp,23403000,23.4030
default,192,1,countloop,jit-on,1523000,1.5230
default,192,1,countloop,jit-warm,1106000,1.1060
default,192,1,nqueens,interp,18842000,18.8420
default,192,1,nqueens,jit-on,3607000,3.6070
default,192,1,nqueens,jit-warm,2696000,2.6960
default,256,0,arith,interp,21896000,21.8960
default,256,0,arith,jit-on,1652000,1.6520
default,256,0,arith,jit-warm,979000,0.9790
default,256,0,memmix,interp,19222000,19.2220
default,256,0,memmix,jit-on,2625000,2.6250
default,256,0,memmix,jit-warm,2055000,2.0550
default,256,0,calltree,interp,19936000,19.9360
default,256,0,calltree,jit-on,2576000,2.5760
default,256,0,calltree,jit-warm,2020000,2.0200
default,256,0,countloop,interp,22498000,22.4980
default,256,0,countloop,jit-on,1561000,1.5610
default,256,0,countloop,jit-warm,1084000,1.0840
default,256,0,nqueens,interp,18513000,18.5130
default,256,0,nqueens,jit-on,3547000,3.5470
default,256,0,nqueens,jit-warm,2686000,2.6860
default,256,1,arith,interp,22245000,22.2450
default,256,1,arith,jit-on,1670000,1.6700
default,256,1,arith,jit-warm,971000,0.9710
default,256,1,memmix,interp,18570000,18.5700
default,256,1,memmix,jit-on,2631000,2.6310
default,256,1,memmix,jit-warm,2091000,2.0910
default,256,1,calltree,interp,19518000,19.5180
default,256,1,calltree,jit-on,2467000,2.4670
default,256,1,calltree,jit-warm,1921000,1.9210
default,256,1,countloop,interp,21422000,21.4220
default,256,1,countloop,jit-on,1495000,1.4950
default,256,1,countloop,jit-warm,1072000,1.0720
default,256,1,nqueens,interp,18576000,18.5760
default,256,1,nqueens,jit-on,3431000,3.4310
default,256,1,nqueens,jit-warm,2660000,2.6600
no block-linking,0.5,0,arith,interp,28268000,28.2680
no block-linking,0.5,0,arith,jit-on,2332766000,2332.7660
no block-linking,0.5,0,memmix,interp,23843000,23.8430
no block-linking,0.5,0,memmix,jit-on,4819000,4.8190
no block-linking,0.5,0,calltree,interp,26011000,26.0110
no block-linking,0.5,0,calltree,jit-on,5523000,5.5230
no block-linking,0.5,0,countloop,interp,28197000,28.1970
no block-linking,0.5,0,countloop,jit-on,448959000,448.9590
no block-linking,0.5,0,nqueens,interp,24516000,24.5160
no block-linking,0.5,0,nqueens,jit-on,458065000,458.0650
no block-linking,0.5,1,arith,interp,27858000,27.8580
no block-linking,0.5,1,arith,jit-on,2909203000,2909.2030
no block-linking,0.5,1,memmix,interp,23624000,23.6240
no block-linking,0.5,1,memmix,jit-on,4757000,4.7570
no block-linking,0.5,1,calltree,interp,24675000,24.6750
no block-linking,0.5,1,calltree,jit-on,5532000,5.5320
no block-linking,0.5,1,countloop,interp,27614000,27.6140
no block-linking,0.5,1,countloop,jit-on,437465000,437.4650
no block-linking,0.5,1,nqueens,interp,24008000,24.0080
no block-linking,0.5,1,nqueens,jit-on,454173000,454.1730
no block-linking,1,0,arith,interp,28450000,28.4500
no block-linking,1,0,arith,jit-on,2088000,2.0880
no block-linking,1,0,memmix,interp,23446000,23.4460
no block-linking,1,0,memmix,jit-on,3998000,3.9980
no block-linking,1,0,memmix,jit-warm,3520000,3.5200
no block-linking,1,0,calltree,interp,24299000,24.2990
no block-linking,1,0,calltree,jit-on,5127000,5.1270
no block-linking,1,0,calltree,jit-warm,4834000,4.8340
no block-linking,1,0,countloop,interp,27783000,27.7830
no block-linking,1,0,countloop,jit-on,4713000,4.7130
no block-linking,1,0,countloop,jit-warm,4252000,4.2520
no block-linking,1,0,nqueens,interp,24318000,24.3180
no block-linking,1,0,nqueens,jit-on,3858000,3.8580
no block-linking,1,1,arith,interp,27631000,27.6310
no block-linking,1,1,arith,jit-on,2106000,2.1060
no block-linking,1,1,memmix,interp,23448000,23.4480
no block-linking,1,1,memmix,jit-on,4030000,4.0300
no block-linking,1,1,memmix,jit-warm,3460000,3.4600
no block-linking,1,1,calltree,interp,24521000,24.5210
no block-linking,1,1,calltree,jit-on,5159000,5.1590
no block-linking,1,1,calltree,jit-warm,4620000,4.6200
no block-linking,1,1,countloop,interp,27693000,27.6930
no block-linking,1,1,countloop,jit-on,4759000,4.7590
no block-linking,1,1,countloop,jit-warm,4202000,4.2020
no block-linking,1,1,nqueens,interp,27140000,27.1400
no block-linking,1,1,nqueens,jit-on,4002000,4.0020
no block-linking,2,0,arith,interp,27733000,27.7330
no block-linking,2,0,arith,jit-on,2059000,2.0590
no block-linking,2,0,arith,jit-warm,1636000,1.6360
no block-linking,2,0,memmix,interp,23276000,23.2760
no block-linking,2,0,memmix,jit-on,4135000,4.1350
no block-linking,2,0,memmix,jit-warm,3564000,3.5640
no block-linking,2,0,calltree,interp,24276000,24.2760
no block-linking,2,0,calltree,jit-on,5372000,5.3720
no block-linking,2,0,calltree,jit-warm,5008000,5.0080
no block-linking,2,0,countloop,interp,26979000,26.9790
no block-linking,2,0,countloop,jit-on,5173000,5.1730
no block-linking,2,0,countloop,jit-warm,4586000,4.5860
no block-linking,2,0,nqueens,interp,25295000,25.2950
no block-linking,2,0,nqueens,jit-on,4121000,4.1210
no block-linking,2,0,nqueens,jit-warm,3289000,3.2890
no block-linking,2,1,arith,interp,26720000,26.7200
no block-linking,2,1,arith,jit-on,2010000,2.0100
no block-linking,2,1,arith,jit-warm,1556000,1.5560
no block-linking,2,1,memmix,interp,23337000,23.3370
no block-linking,2,1,memmix,jit-on,4030000,4.0300
no block-linking,2,1,memmix,jit-warm,3479000,3.4790
no block-linking,2,1,calltree,interp,24559000,24.5590
no block-linking,2,1,calltree,jit-on,5102000,5.1020
no block-linking,2,1,calltree,jit-warm,4653000,4.6530
no block-linking,2,1,countloop,interp,27181000,27.1810
no block-linking,2,1,countloop,jit-on,4728000,4.7280
no block-linking,2,1,countloop,jit-warm,4279000,4.2790
no block-linking,2,1,nqueens,interp,24198000,24.1980
no block-linking,2,1,nqueens,jit-on,3848000,3.8480
no block-linking,2,1,nqueens,jit-warm,3137000,3.1370
no block-linking,4,0,arith,interp,27687000,27.6870
no block-linking,4,0,arith,jit-on,2032000,2.0320
no block-linking,4,0,arith,jit-warm,1600000,1.6000
no block-linking,4,0,memmix,interp,24145000,24.1450
no block-linking,4,0,memmix,jit-on,4290000,4.2900
no block-linking,4,0,memmix,jit-warm,3801000,3.8010
no block-linking,4,0,calltree,interp,25420000,25.4200
no block-linking,4,0,calltree,jit-on,5438000,5.4380
no block-linking,4,0,calltree,jit-warm,4974000,4.9740
no block-linking,4,0,countloop,interp,28044000,28.0440
no block-linking,4,0,countloop,jit-on,4841000,4.8410
no block-linking,4,0,countloop,jit-warm,4408000,4.4080
no block-linking,4,0,nqueens,interp,24290000,24.2900
no block-linking,4,0,nqueens,jit-on,3968000,3.9680
no block-linking,4,0,nqueens,jit-warm,3199000,3.1990
no block-linking,4,1,arith,interp,27267000,27.2670
no block-linking,4,1,arith,jit-on,2048000,2.0480
no block-linking,4,1,arith,jit-warm,1597000,1.5970
no block-linking,4,1,memmix,interp,24379000,24.3790
no block-linking,4,1,memmix,jit-on,4102000,4.1020
no block-linking,4,1,memmix,jit-warm,3527000,3.5270
no block-linking,4,1,calltree,interp,24444000,24.4440
no block-linking,4,1,calltree,jit-on,5313000,5.3130
no block-linking,4,1,calltree,jit-warm,4821000,4.8210
no block-linking,4,1,countloop,interp,27103000,27.1030
no block-linking,4,1,countloop,jit-on,4833000,4.8330
no block-linking,4,1,countloop,jit-warm,4454000,4.4540
no block-linking,4,1,nqueens,interp,24254000,24.2540
no block-linking,4,1,nqueens,jit-on,3859000,3.8590
no block-linking,4,1,nqueens,jit-warm,3093000,3.0930
no block-linking,8,0,arith,interp,27876000,27.8760
no block-linking,8,0,arith,jit-on,2068000,2.0680
no block-linking,8,0,arith,jit-warm,1556000,1.5560
no block-linking,8,0,memmix,interp,23785000,23.7850
no block-linking,8,0,memmix,jit-on,4085000,4.0850
no block-linking,8,0,memmix,jit-warm,3600000,3.6000
no block-linking,8,0,calltree,interp,25563000,25.5630
no block-linking,8,0,calltree,jit-on,5215000,5.2150
no block-linking,8,0,calltree,jit-warm,4779000,4.7790
no block-linking,8,0,countloop,interp,28194000,28.1940
no block-linking,8,0,countloop,jit-on,4790000,4.7900
no block-linking,8,0,countloop,jit-warm,4444000,4.4440
no block-linking,8,0,nqueens,interp,24302000,24.3020
no block-linking,8,0,nqueens,jit-on,3933000,3.9330
no block-linking,8,0,nqueens,jit-warm,3266000,3.2660
no block-linking,8,1,arith,interp,27746000,27.7460
no block-linking,8,1,arith,jit-on,2135000,2.1350
no block-linking,8,1,arith,jit-warm,1543000,1.5430
no block-linking,8,1,memmix,interp,23808000,23.8080
no block-linking,8,1,memmix,jit-on,4131000,4.1310
no block-linking,8,1,memmix,jit-warm,3597000,3.5970
no block-linking,8,1,calltree,interp,25394000,25.3940
no block-linking,8,1,calltree,jit-on,5145000,5.1450
no block-linking,8,1,calltree,jit-warm,4699000,4.6990
no block-linking,8,1,countloop,interp,28947000,28.9470
no block-linking,8,1,countloop,jit-on,4933000,4.9330
no block-linking,8,1,countloop,jit-warm,4528000,4.5280
no block-linking,8,1,nqueens,interp,24775000,24.7750
no block-linking,8,1,nqueens,jit-on,3936000,3.9360
no block-linking,8,1,nqueens,jit-warm,3207000,3.2070
no block-linking,16,0,arith,interp,27930000,27.9300
no block-linking,16,0,arith,jit-on,1999000,1.9990
no block-linking,16,0,arith,jit-warm,1574000,1.5740
no block-linking,16,0,memmix,interp,23402000,23.4020
no block-linking,16,0,memmix,jit-on,4089000,4.0890
no block-linking,16,0,memmix,jit-warm,3495000,3.4950
no block-linking,16,0,calltree,interp,25559000,25.5590
no block-linking,16,0,calltree,jit-on,5100000,5.1000
no block-linking,16,0,calltree,jit-warm,4741000,4.7410
no block-linking,16,0,countloop,interp,28481000,28.4810
no block-linking,16,0,countloop,jit-on,4683000,4.6830
no block-linking,16,0,countloop,jit-warm,4175000,4.1750
no block-linking,16,0,nqueens,interp,24150000,24.1500
no block-linking,16,0,nqueens,jit-on,4015000,4.0150
no block-linking,16,0,nqueens,jit-warm,3254000,3.2540
no block-linking,16,1,arith,interp,27056000,27.0560
no block-linking,16,1,arith,jit-on,2039000,2.0390
no block-linking,16,1,arith,jit-warm,1621000,1.6210
no block-linking,16,1,memmix,interp,23502000,23.5020
no block-linking,16,1,memmix,jit-on,4123000,4.1230
no block-linking,16,1,memmix,jit-warm,3463000,3.4630
